,img_href,dt,name,text
64,http://www.stu.ru/images/news/preview/48838.jpg,23/06/06,Студентка СГУПСа факультета «Мировая экономика и право» стала призером конкурса перевода научной литератур,"Подведены итоги конкурса перевода научной литературы «Метафразис», который проводился с 14 апреля по 1 июня Сибирским институтом управления – филиалом РАНХиГС (г. Новосибирск).Цель конкурса – стимулирования интереса студентов вузов к изучению иностранных языков, творческого отношения к работе с текстом, развития навыка перевода научной литературы.На конкурс поступило более 50 работ из Новосибирска, Санкт-Петербурга, Казани и других городов Российской Федерации.  Наша студентка факультета «Мировая экономика и право» Виктория Соммер (группа ТД-412) получила диплом 3 степени в номинации «Английский язык», руководитель - старший преподаватель кафедры «Английский язык» Елена Петровна Серебренникова ."
65,http://www.stu.ru/images/news/preview/48837.jpg,23/06/06,Два проекта СГУПСа прошли дорожный отбор конкурса ОАО «РЖД»  «Новое звено. Проекты,"29 мая прошла защита проектов конкурса ОАО «РЖД» «Новое звено. Проекты» на дорожном этапе с участием членов дорожной экспертной группы.Компания ОАО «РЖД» проводит данный конкурс ежегодно с целью развития технического творчества и вовлечения молодых работников холдинга «РЖД», студентов, аспирантов и преподавателей отраслевых образовательных организаций, а также молодых работниковорганизаций внешнего контура в решение стоящих перед холдингом «РЖД» задач в области инновационного и научно-технического развития.От нашего вуза в 2023 году было подано 19 заявок на данный конкурс. В дорожный этап прошли 4 конкурсных работы:«Уголь в контейнерах» - Арбузова Анна Андреевна, Кабукин Николай Юрьевич, Басманов Данил Анатольевич «PROуправление» - Сафронова Оксана Леонидовна, Хомякова Дарья Евгеньевна, Долбня Алексей Витальевич «Система поддержки принятия решений по развитию интервального регулирования» - Осипов Николай Игоревич, Лукьяновский Максим Сергеевич «Измерение оптическим методом геометрических параметров пружин» - Суров Данил Павлович, Давиденко Владислав Александрович, Кочетков Антон Сергеевич.Стоит отметить, что все темы проектов, представленные на конкурс, были определены в соответствии с актуальными задачами, стоящими перед холдингом ОАО «РЖД», по приоритетным направлениям инновационного и научно-технического развития согласно стратегическим и программным документам компании.По итогу дорожного этапа было отобрано 2 проекта для оценки Центральной экспертной комиссией: «PROуправление» и «Система поддержки принятия решений по развитию интервального регулирования» (протокол совещания у заместителя главного инженера  Западно-Сибирской железной дороги от 29 мая 2023г. № 83143-394/нр).В период с 6 июля по 21 июля пройдет этап «Оценка Центральной экспертной комиссии», далее с 8 августа по 11 августа – Полуфинал, сентябрь – Финал. Пожелаем участникам успехов и победы."
66,http://www.stu.ru/images/news/preview/48835.jpg,23/05/31,СГУПС занял призовые места в конкурсе перевода в Новосибирском высшем военном командном ордена Жукова училищ,"В Новосибирском высшем военном командном ордена Жукова училище состоялся конкурс письменного перевода с иностранного на русский язык, проводимый в честь Дня Победы. Тема конкурса - «Современные угрозы».Конкурс проводился в трех секциях по трем языкам (английский, немецкий, французский). Наши студенты принимали участие во всех секциях.По итогам конкурса участники получили следующие награды:Секция «Немецкого язык»:Ерошенко Елена Сергеевна (гр. БУ-111) - 1 место; Кудинова Марина Алексеевна (гр. БУП-212) - 3 место;Руководитель – Юлия Сергеевна Юрьева, кандидат педагогических наук, доцент кафедры «Иностранные языки»;Пуляева Вера Сергеевна (гр. ТЛ-111) - 2 место;Руководитель – старший преподаватель кафедры «Иностранные языки» Татьяна Васильевна Сорокина.Секция «Французского язык»:Мишенина Дарья Евгеньевна (гр. ЮПД-111) - 3 место;Руководитель – старший преподаватель кафедры «Английский язык» Ольга Витальевна Кононыхина.Члены жюри отметили организованность команд нашего вуза, а также высокий уровень подготовки по иностранным языкам.Все участники получили сертификаты, а руководителям команд были вручены благодарственные письма начальника Новосибирского высшего военного командного ордена Жукова училища."
67,http://www.stu.ru/design/news.jpg,23/05/31,"Диссертация, выполненная и защищенная в СГУПС, признана одной из лучших в 2022 году","Диссертация Школиной Дарьи Ивановны на тему «Мониторинг и оптимизация производственных процессов неразрушающего контроля в вагоноремонтном комплексе» на соискание ученой степени кандидата технических наук признана экспертным советом ВАК при Минобрнауки России одной из лучших в 2022 году!Диссертация подготовлена на кафедре «Электротехника, диагностика и сертификация» ФГБОУ ВО «Сибирский государственный университет путей сообщения» по научной специальности 05.02.22 – «Организация производства (транспорт)» под научным руководством доктора технических наук, доцента, Бехера Сергея Алексеевича и успешно защищена 30 июня 2022 г. на заседании диссертационного совета Д 218.012.08, созданного при ФГБОУ ВО «Сибирский государственный университет путей сообщения».Следует отметить, что Школина Дарья Ивановна подготовила и защитила диссертацию в период обучения в аспирантуре. В настоящее время она является аспирантом 4-го года обучения.Благодарность за подготовку хорошей научной работы выразил ученый секретарь Высшей аттестационной комиссии при Минобрнауки России Мацкевич Игорь Михайлович."
68,http://www.stu.ru/images/news/preview/48834.jpg,23/05/29,В СГУПСе прошла лекция  «Я гражданин России – за безопасную РОДИНУ,"В нашем вузе на прошлой неделе прошла лекция на тему «Я, гражданин России - за безопасную РОДИНУ». В качестве докладчика выступил проректор по связям с производством и производственному обучению Юрий Дмитриевич Королишин. Встреча состоялась в рамках недели антитеррористических лекций. По окончании мероприятия Амбассадор ОАО «РЖД» Татьяна Попова провела квиз от компании «РЖД», на котором ребята узнали много нового и получили призы."
69,http://www.stu.ru/images/news/preview/48831.jpg,23/05/29,Механики СГУПСа – интеллектуальный потенциал Сибир,"Лучшие научные проекты  наших 8 студентов-участников СНО «Механик» (факультет «Управление транспортно-технологическими комплексами») по специальности «Наземные транспортно-технологические комплексы» (специализация «Подъемно-транспортные, строительные, дорожные средства и оборудование») были представлены на региональной научной студенческой конференции «Интеллектуальный потенциал Сибири» (РНСК-2023), проходившей с 22 по 26 мая 2023 года в ведущих вузах нашего города.РНСК – традиционная ежегодная молодёжная  конференция в Сибирском федеральном округе. Задачи конференции: познакомить студентов с актуальными проблемами и задачами современной науки и техники, привлечь молодежь к их решению; представить результаты научной, творческой и инновационной деятельности студентов; организовать интеллектуальное общение вузовской молодежи и взаимообмен информацией в сфере профессиональных интересов и в гуманитарной области; поощрить активность студенчества в научно-исследовательской работе, техническом и художественном творчестве; содействовать повышению авторитета интеллектуальной деятельности.В секции «Транспортные сооружения. Средства механизации» (председатель секции - к.т.н, доцент Воронцов Д.С.), проходившей 22 мая 2023 г. в нашем университете, выступили 19 участников из СГУПСа и СГУВТа. Необходимо отметить высокий уровень выполнения научных студенческих работ, представленных нашими авторами, конкурировавших между собой и с работами молодых ученых из СГУВТа. Все наши работы без исключения имели необходимые научные составляющие.По результатам работы нашей секции конференции:- дипломом I степени оценен доклад и научная работа «Разработка экзоскелета для ремонта путевой техники» Никиты Трусова и Данила Карамнова (ММ-512), научный руководитель – к.т.н., доцент Маслов Н.А.;- дипломом II степени оценен доклад и научная работа «Имитационное моделирование динамического поведения предохранительного клапана непрямого действия» Максима Толстова (аспирант-стажер, ММ-412), научный руководитель – к.т.н., доцент Маслов Н.А.;- дипломом II степени оценен доклад и научная работа «Разработка методического обеспечения лабораторных работ на физических и имитационных моделях пневмоприводов» Эльвиры Куспековой (ММ-512), научный руководитель – к.т.н., доцент Маслов Н.А.;- дипломом III степени оценен доклад и научная работа «Потери механической энергии при проходе колесом подвижного состава рельсового стыка» Степана Андриевского и Александра Баранова, научный руководитель – преподаватель Ардышев И.К. (факультет СЖД);- дипломом III степени оценен доклад и научная работа «Проектирование технологии и механизации перегрузки труб различных диаметров в ООО «Сергинский речной порт» Александры Матюшиной (СГУВТ), научный руководитель – к.э.н. Севостьянова О.Г."
70,http://www.stu.ru/images/news/preview/48830.jpg,23/05/22,Курс на сближение обучения  производств,"На протяжении 90 лет факультет «Строительство железных дорог» (СЖД) готовит качественных специалистов в области строительства и эксплуатации железных дорог. За время работы СЖД и выпускающих кафедр непрерывно ведется работа по повышению качества образования, для чего в течение обучения студента знакомят не только теоретически с особенностями будущей профессии, но и с практической стороной за счет производственных практик, экскурсий на производственные объекты и занятий на базовой кафедре (на базе Новосибирской дистанции пути имени П.Т. Семешко). Но основная доля студентов вживую знакомится с особенностями работы на производстве только на практике после третьего курса, когда выбор специализации обучения уже совершен. В свою очередь, особо важно, чтобы студент к моменту этого выбора был максимально осведомлен о том, как и на каких предприятиях он может построить свою дальнейшую карьеру. Причем, важно услышать это от непосредственных работников этих предприятий. Узнав о перспективах работы в той или иной области по специальности на начальных курсах, студент будет больше вовлечен в процесс обучения, потому как приобретёт четкое понимание для чего ему необходимо повышать свои компетенции в тех или иных дисциплинах.Именно поэтому на факультете совместно с кураторским корпусом было принято решение о необходимости организации экскурсий на производственные объекты для студентов 1-го и 2-го курсов.Современные условия работы железнодорожного транспорта ставят серьезные задачи перед работниками отрасли, для чего на ОАО «РЖД» активно внедряются новые технологии и инструменты по обеспечению безопасности движения поездов. Одной из важнейших задач при техническом обслуживании железнодорожного пути является своевременное выявление неисправностей либо их предупреждение, поэтому на сети дорог ОАО «РЖД» отлажена работа диагностики и мониторинга устройств инфраструктуры. В настоящее время основную долю отступлений от норм содержания и неисправностей элементов железнодорожного пути выявляют средствами диагностики, бесперебойную работу которых обеспечивают работник Региональных центров диагностики и мониторинга устройств инфраструктуры.Для знакомства с особенностями работы в этой области железнодорожного транспорта 18 мая  для студентов начальных курсов факультетом СЖД совместно с Новосибирским центром диагностики и мониторинга устройств инфраструктуры была организована экскурсия. Ребят  познакомили с основными задачами Центра и показали функциональные особенности работы отделов, в которых трудятся его сотрудники. Для того, чтобы облегчить усвоение материала в начале мероприятия начальник информационно-аналитического отдела Екатерина Геннадьевна Власкина провела краткий курс развития средств диагностики, где студенты узнали, как и для чего появились устройства для измерения геометрии рельсовой колеи, что такое средства дефектоскопии и что такое диагностический комплекс «Спринтере-Интеграл».После вводной лекции заместитель начальника Единого центра расшифровки Николай Сергеевич Мурашов провел ребятам экскурсию по основным отделам Центра, где рассказал о функциях работников и тонкостях в работе с расшифровкой результатов диагностики.Также ребятам показали технический класс, где проводят занятия сотрудники Центра и студенты факультета «СЖД» в рамках дисциплины «Информационные технологии в путевом хозяйстве» на четвертом курсе.Помимо этого ребятам рассказали об основных направления молодежной политики «РЖД» и способах ее реализации. На примере лучшего Совета молодежи Западно-Сибирской железной дороги по результатам работы в 2022 году продемонстрировано, почему нужно быть активным и не ограничивать себя в рамках своей должности.К сожалению, в момент данного мероприятия все диагностические комплексы были на линии в работе, поэтому ребятам не удалось показать, как мобильные средства диагностики выглядят изнутри. А это значит, что в следующем учебном году студентов ждет еще одна экскурсия, где помимо знакомства с мобильными средствами диагностики ребятам продемонстрируют программные комплексы, необходимые для своевременной диагностики и качественного мониторинга объектов инфраструктуры.Участники экскурсии выразили огромную благодарность ведущему инженеру РЦДМ, Председателю совета молодежи Новосибирского центра диагностики и мониторинга устройств инфраструктуры Максиму Александровичу Карюкину за помощь в организации  экскурсии, а также Екатерине Геннадьевне Власкиной и Николаю Сергеевичу Мурашову за помощь и участие в расширении профессионального кругозора наших студентов.В будущем учебном году планируется не только повторить данное мероприятие с привлечением первокурсников, но и расширить зону знакомства начальных курсов с производственными предприятиями за счет экскурсий на структурные подразделения Дирекции инфраструктуры и Дирекций по ремонту пути. "
71,http://www.stu.ru/images/news/preview/48829.jpg,23/05/26,Последний звонок в ЦДО СГУПС – 202,"25 мая в актовом зале СГУПСа прошла церемония «Последний звонок» для выпускников 2023 года Центра довузовского образования. На празднике прозвучали напутственные слова от проректора по учебной работе Новоселова Алексея Анатольевича и  деканов инженерных факультетов СГУПСа: Климова Александр Александровича (УПП); Бахтина Сергея Анатольевича (МТ) и гуманитарных факультетов Корнеева Максима Владимировича (МЭиП), Тюнюковой Елены Владимировны (ПУСК) . Директор МБОУ СОШ №100 на базе ЦДО СГУПС Королев Николай Александрович зачитал приказ о допуске всех 70-ти учащихся в к сдаче ЕГЭ.Праздничный концерт отличала особая душевность и трогательность. Впереди выпускников ждут ЕГЭ и поступление в вузы. Со сцены звучали теплые слова благодарности, задевающие за душу стихотворения, проникновенные песни, а также показаны видеоролики, танцы от родителей и учащихся. Родители выпускников выразили благодарность в подготовке детей к   Единым государственным экзаменам и к жизни. В качестве подарка детям и учителям они исполнили на сцене зажигательный танец в футболках с фотографиями своих детей. В заключение директор  Центра довузовского образования Ануфриева Юлия Валерьевна поздравила всех учащихся и педагогический коллектив ЦДО с праздником и выразила надежду, что в ближайшем будущем выпускники ЦДО успешно преодолеют экзаменационные испытания и станут студентами Сибирского государственного университета путей сообщения.Особенностью празднования в этом году стало ожидание в ЦДО одиннадцати медалистов и исполнение школьного вальса выпускников не только в актовом зале, но и на площади перед университетом, что вызвало восторг родителей, гостей и даже случайных прохожих. В добрый путь выпускники ЦДО – 2023 года!Все фото здесь"
72,http://www.stu.ru/images/news/preview/48828.jpg,23/05/25,Звезды сыграли в честь легенд,"В спортивной жизни СГУПСа есть множество именитых воспитанников и преподавателей, но один из них является настоящей легендой - Валентин Яковлевич Касян. На протяжении 45 лет он был тренером по волейболу сборной НИИЖТ-СГУПС. Именно под его руководством команда не просто многократно становилась победителем «Первенства вузов города», но и поставила непревзойдённый рекорд - 17 побед подряд (1987-2003). Помимо этого, команда становилась победителем и призером первенства вузов МПС (Министерства путей сообщения), чемпионами первенства города Новосибирска. Множество игроков, прошедших через его команду, в дальнейшем пополняли ряды волейбольного клуба «Север», а позже «Локомотив».В прошедшую субботу прошел третий ежегодный турнир по волейболу в честь легендарного тренера В.Я. Касяна, на котором вновь собрались воспитанники, коллеги, друзья, выпускники и действующие студенты. Среди них много титулованных игроков, играющих на ключевых ролях в своих клубах. Организаторами турнира в очередной раз стали: Дмитрий Клочков (выпускник СЖД), Владимир Лазученко (выпускник ПГС, действующий тренер сборной СГУПС по волейболу), Юрий Федотович Данилевич (главный судья соревнований, ведущий инженер УСОК СГУПС). На открытии турнира присутствовали: заслуженный тренер РСФСР В.И. Барабанов; мастер спорта СССР, заслуженный тренер РСФСР И.П. Ивченко; мастер спорта СССР А.А. Шух; мастер спорта А. Горшков. Это те люди, которые стояли у истоков зарождения волейбола в г.Новосибирске. С приветственным словом выступил декан факультета УПП А.А. Климов, также напутствие участникам соревнований дал декан факультета МЭиП М.В. Корнеев.В турнире приняли участие три команды: «Ураганчики», «Терминаторы», «ПГС». Большая часть участников - это профессиональные, действующие спортсмены, но это не мешает им играть в одной команде с молодыми студентами и ветеранами спорта.Многие именитые игроки внесли свой вклад в развитие турнира, прислав свои игровые футболки, которые были разыграны среди зрителей и гостей турнира. Среди них: Илья Петрушов, Никита Крот, Владислав Бабкевич, Валентин Голубев, Артем Вольвич, Максим Белогорцев, Антон Семышев, Игорь Колодинский, Денис Бирюков, Никита Аксютин, Александр Гуцалюк, Сергей Савин, Роман Мартынюк, Юрий Бережко, Илья Казаченков. Среди зрителей присутствовало много школьников, которые, не отвлекаясь, наблюдали за происходящем на площадке и громко поддерживали команды. После окончания игр ребята окружили игроков, чтобы взять автографы и сфотографироваться со своими кумирами. Турнир был пропитан дружеской атмосферой и доброй ностальгией, что объединило всех участников и гостей турнира, а любовь к волейболу и спортивный азарт делали каждую игру эмоциональной и зрелищной. В упорной борьбе призовые места распределились следующим образом: 1 место – команда «Терминаторы», 2 место – команда «Ураганчики», 3 место – команда «ПГС».Лучшими игроками турнира были признаны: Роман Жось (выпускник УПП, ВК «Урал»), Олег Куренев (выпускник МТ), Илья Базулкин (выпускник ПГС), Михаил Никель (ВК «Зенит» (Санкт-Петербург)).Самыми полезными игроками в своих командах стали: команда «Терминаторы» - Никита Аксютин (выпускник УПП, ВК «Самотлор»), команда «Ураганчики» - Евгений Евсеенко (выпускник МТ), команда «ПГС» - Андрей Игнатьев (выпускник МЭиП).Организаторы турнира благодарят за оказанную помощь  Александра Александровича Климова (декана факультета УПП), Профком студентов СГУПС, Культурно-досуговый центр, ВК «Локомотив-Новосибирск», ЖВК «Локомотив - Калининградская область».И конечно, большая благодарность всем участникам, гостям и болельщикам за неравнодушие к спорту и поддержание спортивной традиции. "
73,http://www.stu.ru/design/news.jpg,23/05/25,Футболисты СГУПСа стали бронзовыми призерами 46-й Универсиады вузов Новосибирской област,"Вчера они сыграли вничью со счетом 1:1 с командой Сибирского государственного университета геосистем и технологий. Гол в нашей команде забил Никита Стадников (факультет «Мировая экономика и право»). В результате обе команды набрали одинаковой количество очков, но по лучшей разнице забитых и пропущенных мячей второе место заняли наши соперники.Добавим, что наша команда на финальном этапе розыгрыша выступали не в оптимальном составе, поскольку ряд игроков в эти дни выступает за университет в Нижнем Новгороде на Всероссийском финале проекта «Мини-футбол – в вузы»."
74,http://www.stu.ru/images/news/preview/48827.jpg,23/05/23,Студенты факультета УТТК заняли призовые места в городской олимпиаде по электротехник,"В нашем университете на факультете «Управление транспортно-технологическими комплексами» (УТТК) была организована и проведена XIV межвузовская олимпиада по электротехнике. СГУПС уже традиционно является базовым вузом в проведении такого рода мероприятия. В этом году приняли участие в олимпиаде 4 университета города: НГТУ, СГУПС, НГАУ и СГУВТ, каждый из которых представил команду из 5-10 человек.  Соревнования проводились в командном и личном первенствах. От нашего университета в олимпиаде приняли участие студенты группы БМСС-211: Титов Вячеслав, Филиппи Яков, Керлиц Карина, Фоменко Виктория, Широкова Алина, Богодяж Валерия.По итогам олимпиады команда СГУПС заняла второе командное место. Студент группы БМСС-211 Вячеслав Титов  завоевал 3 место в личном первенстве. Команду студентов подготовила и организовала олимпиаду на факультете доцент кафедры «Физика, электротехника, диагностика и управление в технических системах» Елена Владимировна Лесных. "
75,http://www.stu.ru/images/news/preview/48826.jpg,23/05/23,Студенты СГУПСа стали призерами конкурса перевода научного текст,"Подведены итоги III Всероссийского конкурса «Перевод научного текста», организованного Дальневосточным филиалом Российского государственного университета правосудия в г. Хабаровске. На перевод с английского и немецкого языков предлагались научные тексты гуманитарной направленности: гражданское право, уголовное право, юриспруденция, конституционное право, международное право, психология, интеллектуальная собственность, экономика и т.д. В конкурсе приняли участие более 100 студентов и школьников из различных городов Российской Федерации: Новосибирска, Москвы, Екатеринбурга, Краснодара, Саратова, Ульяновска, Хабаровска, Благовещенска.Студенты СГУПСа заняли следующие призовые места: Диплом 1 степени в номинации «Интеллектуальная собственность» –   Лантратова Алена (ТД-311);Диплом 2 степени в номинации «Психология» – Тимофеева Валерия (БПИ-111);Диплом 3 степени в номинации «Психология» – Мельниченко Юлия (ПЛБ-112).Призеров конкурса подготовили старшие преподаватели кафедры «Английский язык»  Татьяна Анатольевна Балмасова,  Елена Юрьевна Выборнова,   Екатерина Анатольевна Сергиевская."
76,http://www.stu.ru/images/news/preview/48825.jpg,23/05/22,В СГУПСе прошёл Бал отличников факультета «Мосты и тоннели,"На факультете ""Мосты и тоннели"" СГУПСа есть традиции, к которым мы относимся с особым трепетом: ежегодный Бал отличников и праздник факультета. Каждый год в мае декан Сергей Анатольевич Бахтин приглашает всех отличившихся студентов  на Бал, который проходит в родной ""Журавушке""( праздничный зал СГУПСа). Помимо студентов на Бал приглашаются  преподаватели и почетные выпускники факультета. В течение всего мероприятия ребята соревнуются в конкурсах в соответствии со своим курсом. Первокурсникам, например, необходимо определить вид ИССО по фотографии, а тем, кто познал сопромат - снова решать задачи. Студенты готовят ""КВН"", сочиняют стихи и песни про любимый факультет. Такое мероприятие помогает выстроить дружеские отношения между студентами разных курсов, преподавателями и выпускниками, ведь ""держаться вместе"" - это ещё одна традиция факультета.Каждый пятый Бал отмечается праздником факультета. На это отдельное мероприятие приглашаются все студенты, выпускники, преподаватели и дорогие друзья. Нынешние студенты рады показать себя, декан - рассказать о том, что было в эту ""пятилетку"", а выпускники - с удовольствием послушать и посмотреть на родной факультет.В этом году мостовики отмечали 7-ой праздник. Впервые гимн  ""Мостов"" прозвучал со сцены СГУПСа под аккомпанемент живой музыки.  Концерт был организован студентами совместно с выпускниками разных поколений. Велась прямая трансляция в Интернете. Концерт прошёл очень ярко, эмоционально. Как сказала выпускница факультета Екатерина Гибало - участница  подготовки концерта:  ""Мы очень гордимся нашими  старшими товарищами и надеемся стать для нынешних студентов надёжной опорой"".Впервые праздник транслировался в прямом эфире и был записан на «облако». Видео можно посмотреть здесь: https://vk.com/unionmtВсё фото можно посмотреть здесь:https://vk.com/album-26160531_293435167https://vk.com/album-26160531_293435236"
77,http://www.stu.ru/images/news/preview/48824.jpg,23/05/22,СГУПС получил звание «Победитель Открытых международных студенческих Интернет-олимпиад 2023 года,"Студенты нашего университета активно участвуют в олимпиадах и конференциях различного уровня: региональных, всероссийских, международных. Такое участие помогает студентам развивать свои компетенции, расширять кругозор и достигать высоких результатов. Так обучающиеся ребята на разных факультетах СГУПСа принимали самое активное участие в интернет-олимпиадах и заработали для университета звание победителя Открытых международных студенческих Интернет-олимпиад 2022-2023 учебного года.  Они проводились Национальным фондом поддержки инноваций в сфере образования совместно с Научно-исследовательским институтом мониторинга качества образования.Вместе со званием университет получил возможность разместить на сайте вуза баннер с логотипом международных студенческих Интернет-олимпиад.Победу нашему университету завоевали следующие студенты:ФИОГруппаМедальДипломДисциплинаЛадисова Алена ВалерьевнаЭПД-211золотая медальIЭкономикаЧерепанова Елизавета ВладиславовнаТД--112бронзовая медальIIIИнформатикаДзюба Алексей ЕвгеньевичБИСТ-312бронзовая медальIIIИнформатикаЮчюгяев Александр АльбертовичМЛ-312бронзовая медальIIIИнформатикаКокорев Артем АлексеевичСМТ - 111Бронзовая медальIIIФизикаЧередник Андрей РомановичСМТ-311бронзовая медальIIIСопротивление материаловБанул Полина ВикторовнаС-211бронзовая медальIIIСопротивление материаловБрацунов Никита ЕвгеньевичСМТ-311бронзовая медальIIIСопротивление материаловБанул Полина ВикторовнаС-211серебряная медальIIТеоретическая механикаПаксютов Владимир ВладимировичСМТ-212бронзовая медальIIIТеоретическая механика"
